City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chuy,-33.6971,-53.4616,9.69,80,68,2.71,UY,$Y-$m-25 03:30:04
1,Nikolskoye,59.7035,30.7861,7.66,93,100,3.95,RU,$Y-$m-25 03:30:05
2,Nouadhibou,20.931,-17.0347,23.99,100,40,3.09,MR,$Y-$m-25 03:30:05
3,Kharp,66.8014,65.8081,-0.07,74,78,1.45,RU,$Y-$m-25 03:30:06
4,Sioux Lookout,50.1001,-91.917,10.04,100,100,0.0,CA,$Y-$m-25 03:30:06
5,Harwich,51.9419,1.2844,9.64,88,4,2.24,GB,$Y-$m-25 03:30:07
6,Chimbote,-9.0853,-78.5783,15.63,90,50,3.91,PE,$Y-$m-25 03:30:07
7,Broken Hill,-31.95,141.4333,25.6,25,80,6.13,AU,$Y-$m-25 03:30:07
8,Albany,42.6001,-73.9662,11.92,84,33,1.69,US,$Y-$m-25 03:30:08
9,Avarua,-21.2078,-159.775,24.03,69,20,10.29,CK,$Y-$m-25 03:30:08
10,Ushuaia,-54.8,-68.3,-0.08,93,99,2.34,AR,$Y-$m-25 03:30:09
11,New Norfolk,-42.7826,147.0587,16.07,43,89,1.88,AU,$Y-$m-25 03:30:09
12,Madimba,-10.4,40.3333,23.21,86,71,2.8,TZ,$Y-$m-25 03:30:09
13,Port Alfred,-33.5906,26.891,18.43,92,100,4.33,ZA,$Y-$m-25 03:30:10
14,Kapaa,22.0752,-159.319,28.99,70,0,3.6,US,$Y-$m-25 03:30:10
15,Kurchum,48.5722,83.6542,21.58,33,7,0.47,KZ,$Y-$m-25 03:30:10
16,Talnakh,69.4865,88.3972,-0.98,73,96,1.5,RU,$Y-$m-25 03:30:11
17,Mitsamiouli,-11.3847,43.2844,25.16,73,20,2.57,KM,$Y-$m-25 03:30:11
18,Rundu,-17.9333,19.7667,19.27,31,31,2.29,NA,$Y-$m-25 03:30:12
19,Tuktoyaktuk,69.4541,-133.0374,0.0,80,100,5.66,CA,$Y-$m-25 03:30:12
20,Punta Arenas,-53.15,-70.9167,3.06,65,100,5.14,CL,$Y-$m-25 03:30:12
21,Pevek,69.7008,170.3133,-0.24,75,99,3.47,RU,$Y-$m-25 03:30:13
22,Garowe,8.4054,48.4845,24.88,62,73,7.08,SO,$Y-$m-25 03:30:13
23,Qaanaaq,77.484,-69.3632,-5.61,81,100,4.77,GL,$Y-$m-25 03:30:13
24,Cockburn Town,21.4612,-71.1419,28.14,80,73,6.48,TC,$Y-$m-25 03:30:13
25,Busselton,-33.65,115.3333,15.64,61,59,3.96,AU,$Y-$m-25 03:30:14
26,East London,-33.0153,27.9116,19.52,94,75,3.09,ZA,$Y-$m-25 03:30:14
27,Laguna,38.421,-121.4238,28.51,40,0,3.09,US,$Y-$m-25 03:26:32
28,Taltal,-25.4,-70.4833,14.53,74,0,1.95,CL,$Y-$m-25 03:30:15
29,Ballina,-28.8667,153.5667,24.32,65,0,3.77,AU,$Y-$m-25 03:30:15
30,Bambous Virieux,-20.3428,57.7575,22.14,68,40,5.14,MU,$Y-$m-25 03:30:16
31,Airai,-8.9266,125.4092,26.71,35,62,2.0,TL,$Y-$m-25 03:30:16
32,Cadereyta,25.5833,-99.9833,28.99,61,74,1.51,MX,$Y-$m-25 03:29:08
33,Castro,-24.7911,-50.0119,9.89,94,50,2.69,BR,$Y-$m-25 03:30:16
34,Luanda,-8.8368,13.2343,21.53,88,96,1.93,AO,$Y-$m-25 03:30:17
35,Butaritari,3.0707,172.7902,27.83,68,22,4.4,KI,$Y-$m-25 03:30:18
36,Bethel,41.3712,-73.414,13.69,83,0,0.0,US,$Y-$m-25 03:30:19
37,Rocha,-34.4833,-54.3333,8.76,78,100,2.52,UY,$Y-$m-25 03:28:26
38,Maningrida,-12.0667,134.2667,32.97,32,89,5.05,AU,$Y-$m-25 03:30:19
39,Lompoc,34.6391,-120.4579,18.08,91,100,3.09,US,$Y-$m-25 03:30:20
40,Vardo,70.3705,31.1107,4.99,87,45,3.09,NO,$Y-$m-25 03:26:37
41,Turtas,58.9417,69.1325,4.82,64,100,4.63,RU,$Y-$m-25 03:30:20
42,Coquimbo,-29.9533,-71.3436,11.85,87,0,1.03,CL,$Y-$m-25 03:30:21
43,Yangambi,0.8102,24.4336,20.26,99,100,1.0,CD,$Y-$m-25 03:30:21
44,Fortuna,40.5982,-124.1573,15.52,88,0,1.41,US,$Y-$m-25 03:30:22
45,Hithadhoo,-0.6,73.0833,27.12,74,100,4.07,MV,$Y-$m-25 03:30:22
46,Upernavik,72.7868,-56.1549,0.44,67,100,7.26,GL,$Y-$m-25 03:31:23
47,Dali,25.7,100.1833,20.35,75,83,1.45,CN,$Y-$m-25 03:31:23
48,Kautokeino,69.0125,23.0412,5.97,98,100,6.56,NO,$Y-$m-25 03:31:24
49,Pangnirtung,66.1451,-65.7125,2.64,53,20,3.17,CA,$Y-$m-25 03:31:24
50,Faanui,-16.4833,-151.75,25.23,76,9,8.72,PF,$Y-$m-25 03:31:24
51,Victoria,22.2855,114.1577,31.65,72,69,0.89,HK,$Y-$m-25 03:30:53
52,Dunmore Town,25.5,-76.65,28.52,74,14,5.83,BS,$Y-$m-25 03:31:25
53,Hermanus,-34.4187,19.2345,13.22,87,100,1.67,ZA,$Y-$m-25 03:31:25
54,Moose Factory,51.2585,-80.6094,7.0,93,0,1.03,CA,$Y-$m-25 03:31:26
55,Alice Springs,-23.7,133.8833,33.45,15,26,6.17,AU,$Y-$m-25 03:28:24
56,Bluff,-46.6,168.3333,13.05,75,100,4.84,NZ,$Y-$m-25 03:31:26
57,Mount Isa,-20.7333,139.5,32.87,12,1,4.63,AU,$Y-$m-25 03:30:57
58,Xining,36.6167,101.7667,15.3,47,1,0.3,CN,$Y-$m-25 03:31:26
59,Dikson,73.5069,80.5464,0.6,75,100,9.88,RU,$Y-$m-25 03:31:27
60,Aktau,43.65,51.2,16.32,68,99,10.76,KZ,$Y-$m-25 03:31:27
61,Severo-Kurilsk,50.6789,156.125,10.49,97,100,8.42,RU,$Y-$m-25 03:31:27
62,Nagorsk,59.3172,50.8078,10.81,92,100,3.52,RU,$Y-$m-25 03:31:28
63,Jalu,29.0331,21.5482,21.76,75,12,5.13,LY,$Y-$m-25 03:31:28
64,Port Elizabeth,-33.918,25.5701,17.4,99,100,0.45,ZA,$Y-$m-25 03:31:28
65,Kruisfontein,-34.0033,24.7314,12.16,81,100,1.33,ZA,$Y-$m-25 03:31:29
66,Shumyachi,53.8583,32.4242,6.21,90,100,6.56,RU,$Y-$m-25 03:31:29
67,Sao Filipe,14.8961,-24.4956,24.84,86,98,4.12,CV,$Y-$m-25 03:31:30
68,Tocopilla,-22.092,-70.1979,14.5,73,17,5.04,CL,$Y-$m-25 03:31:30
69,Grindavik,63.8424,-22.4338,10.97,66,75,22.64,IS,$Y-$m-25 03:31:30
70,Avera,33.194,-82.5271,16.73,49,0,2.49,US,$Y-$m-25 03:31:31
71,Pangai,-19.8,-174.35,26.06,73,75,4.12,TO,$Y-$m-25 03:31:31
72,Pacific Grove,36.6177,-121.9166,16.23,90,100,3.09,US,$Y-$m-25 03:31:31
73,Vila Velha,-20.3297,-40.2925,20.97,83,75,4.12,BR,$Y-$m-25 03:31:32
74,Ngorongoro,-3.2397,35.4875,8.76,92,95,2.97,TZ,$Y-$m-25 03:27:14
75,Cape Town,-33.9258,18.4232,12.27,87,0,2.57,ZA,$Y-$m-25 03:31:32
76,Charters Towers,-20.1,146.2667,32.02,32,31,4.96,AU,$Y-$m-25 03:31:33
77,Peniche,39.3558,-9.3811,17.28,84,2,11.23,PT,$Y-$m-25 03:31:33
78,Samoded,63.6083,40.5111,2.88,89,100,3.7,RU,$Y-$m-25 03:31:33
79,Bathsheba,13.2167,-59.5167,27.34,89,40,5.66,BB,$Y-$m-25 03:31:34
80,Barreiras,-12.1528,-44.99,22.52,89,100,2.82,BR,$Y-$m-25 03:26:51
81,Aksu,41.1231,80.2644,23.98,30,85,1.17,CN,$Y-$m-25 03:31:34
82,Jamestown,42.097,-79.2353,14.29,82,100,2.57,US,$Y-$m-25 03:28:51
83,San Cristobal,7.7669,-72.225,23.1,98,100,0.83,VE,$Y-$m-25 03:31:35
84,Ribeira Grande,38.5167,-28.7,22.57,77,84,10.02,PT,$Y-$m-25 03:31:35
85,Mataura,-46.1927,168.8643,15.89,64,100,2.16,NZ,$Y-$m-25 03:31:35
86,Sawtell,-30.3833,153.1,21.21,60,0,4.12,AU,$Y-$m-25 03:31:36
87,Yellowknife,62.456,-114.3525,0.29,74,20,1.03,CA,$Y-$m-25 03:30:48
88,Phitsanulok,16.9167,100.5,25.06,97,100,1.06,TH,$Y-$m-25 03:32:36
89,Cidreira,-30.1811,-50.2056,14.7,86,3,4.29,BR,$Y-$m-25 03:32:37
90,Oistins,13.0667,-59.5333,27.05,89,40,5.66,BB,$Y-$m-25 03:32:37
91,Mar Del Plata,-38.0023,-57.5575,15.61,68,0,2.57,AR,$Y-$m-25 03:29:37
92,Soe,-9.8607,124.284,31.38,29,16,5.13,ID,$Y-$m-25 03:32:38
93,Pimenteiras,-6.2453,-41.4192,24.18,62,22,0.48,BR,$Y-$m-25 03:32:38
94,Tasiilaq,65.6145,-37.6368,5.09,29,8,20.95,GL,$Y-$m-25 03:32:38
95,Kloulklubed,7.0419,134.2556,30.28,76,84,7.41,PW,$Y-$m-25 03:32:39
96,Muncar,-8.4333,114.3333,29.5,66,38,3.82,ID,$Y-$m-25 03:32:39
97,Tabas,33.5959,56.9244,29.37,11,0,1.39,IR,$Y-$m-25 03:32:40
98,Cruz Alta,-28.6386,-53.6064,7.89,84,55,4.47,BR,$Y-$m-25 03:32:40
99,Ningxiang,37.34,111.2052,20.11,38,2,2.11,CN,$Y-$m-25 03:32:40
100,Geraldton,-28.7667,114.6,19.23,45,40,7.72,AU,$Y-$m-25 03:31:02
101,Port Blair,11.6667,92.75,29.02,79,40,2.06,IN,$Y-$m-25 03:32:41
102,Bougouni,11.417,-7.479,22.19,95,68,1.62,ML,$Y-$m-25 03:32:41
103,Vao,-22.6667,167.4833,23.34,81,3,5.59,NC,$Y-$m-25 03:32:42
104,Hasaki,35.7333,140.8333,26.27,73,61,9.78,JP,$Y-$m-25 03:32:42
105,Lokosovo,61.1333,74.8167,3.2,75,99,3.96,RU,$Y-$m-25 03:32:42
106,Teya,60.3778,92.6267,1.72,87,99,1.25,RU,$Y-$m-25 03:32:43
107,San Patricio,28.017,-97.5169,28.94,68,2,4.1,US,$Y-$m-25 03:32:43
108,Dhidhdhoo,6.8833,73.1,28.03,74,40,5.76,MV,$Y-$m-25 03:32:14
109,Hambantota,6.1241,81.1185,30.19,70,0,3.09,LK,$Y-$m-25 03:32:43
110,Norman Wells,65.282,-126.8329,4.02,75,75,1.03,CA,$Y-$m-25 03:32:44
111,Atuona,-9.8,-139.0333,24.9,75,31,8.33,PF,$Y-$m-25 03:32:44
112,The Valley,18.217,-63.0578,27.92,70,95,5.86,AI,$Y-$m-25 03:31:54
113,Kieta,-6.2167,155.6333,28.86,71,53,2.19,PG,$Y-$m-25 03:32:45
114,Montreal,45.5088,-73.5878,13.48,71,0,3.6,CA,$Y-$m-25 03:28:06
115,Kavieng,-2.5744,150.7967,29.62,64,88,5.96,PG,$Y-$m-25 03:32:45
116,Ferrol,43.4832,-8.2369,14.82,89,17,3.87,ES,$Y-$m-25 03:28:35
117,Rikitea,-23.1203,-134.9692,21.2,65,78,7.43,PF,$Y-$m-25 03:32:45
118,Saint George,37.1041,-113.5841,27.75,19,0,2.06,US,$Y-$m-25 03:30:17
119,Kiama,-34.6833,150.8667,21.88,61,0,1.34,AU,$Y-$m-25 03:29:55
120,Ifo,6.8144,3.1958,24.79,93,99,1.6,NG,$Y-$m-25 03:32:46
121,Srednekolymsk,67.45,153.6833,5.14,51,7,4.13,RU,$Y-$m-25 03:32:46
122,Williams Lake,52.1415,-122.1445,15.76,58,75,3.6,CA,$Y-$m-25 03:30:22
123,Kjollefjord,70.9457,27.3465,9.03,87,75,3.6,NO,$Y-$m-25 03:32:47
124,Lielvarde,56.7207,24.8074,5.84,94,87,2.03,LV,$Y-$m-25 03:32:47
125,Olga,43.7444,135.2892,20.08,56,59,2.26,RU,$Y-$m-25 03:32:47
126,Codrington,-38.2667,141.9667,16.64,56,98,1.91,AU,$Y-$m-25 03:32:48
127,Camacha,33.0833,-16.3333,20.68,83,75,7.2,PT,$Y-$m-25 03:32:48
128,Turukhansk,65.8167,87.9833,-1.39,79,98,4.73,RU,$Y-$m-25 03:32:48
129,Cururupu,-1.8283,-44.8683,24.28,88,6,1.79,BR,$Y-$m-25 03:32:49
130,Garoua Boulai,5.8833,14.55,16.55,96,100,1.53,CM,$Y-$m-25 03:32:49
131,Vaini,-21.2,-175.2,25.09,88,75,3.6,TO,$Y-$m-25 03:32:49
132,Burias,11.4463,122.5497,29.35,78,100,1.57,PH,$Y-$m-25 03:32:50
133,Upington,-28.4478,21.2561,18.21,22,0,3.09,ZA,$Y-$m-25 03:33:50
134,Aykhal,66.0,111.5,-3.37,88,95,5.25,RU,$Y-$m-25 03:33:50
135,Lasa,46.6166,10.7002,11.49,96,100,0.49,IT,$Y-$m-25 03:33:51
136,Cherskiy,68.75,161.3,0.48,64,100,3.21,RU,$Y-$m-25 03:33:51
137,Alta Floresta,-9.8756,-56.0861,24.29,61,34,1.59,BR,$Y-$m-25 03:33:51
138,Kaitangata,-46.2817,169.8464,11.4,78,100,6.21,NZ,$Y-$m-25 03:33:52
139,Ereymentau,51.6199,73.1033,21.98,34,33,5.37,KZ,$Y-$m-25 03:33:52
140,Ekhabi,53.5102,142.9671,8.93,92,100,11.52,RU,$Y-$m-25 03:33:52
141,Ashti,19.3833,76.2333,26.74,67,21,0.56,IN,$Y-$m-25 03:33:53
142,Boa Vista,2.8197,-60.6733,27.99,65,0,2.06,BR,$Y-$m-25 03:33:53
143,Puerto Ayora,-0.7393,-90.3518,19.75,92,97,2.68,EC,$Y-$m-25 03:33:53
144,Kyra,49.5776,111.9753,9.02,37,11,8.35,RU,$Y-$m-25 03:33:54
145,Egvekinot,66.3167,-179.1667,-1.75,62,91,5.7,RU,$Y-$m-25 03:33:54
146,Barrow,71.2906,-156.7887,1.01,86,100,9.77,US,$Y-$m-25 03:33:54
147,Vostok,46.4856,135.8833,16.14,49,55,2.45,RU,$Y-$m-25 03:33:55
148,Alfeld,51.9838,9.8199,13.66,94,100,0.45,DE,$Y-$m-25 03:33:55
149,Sibu,2.3,111.8167,29.17,74,20,2.57,MY,$Y-$m-25 03:33:55
150,Chusovoy,58.3013,57.8131,7.77,81,99,6.39,RU,$Y-$m-25 03:33:56
151,Luderitz,-26.6481,15.1594,11.37,89,55,1.36,NA,$Y-$m-25 03:33:56
152,Richards Bay,-28.783,32.0377,22.4,69,0,6.74,ZA,$Y-$m-25 03:33:57
153,Thompson,55.7435,-97.8558,13.09,67,75,2.57,CA,$Y-$m-25 03:30:07
154,Inta,66.0317,60.1659,0.03,75,6,4.59,RU,$Y-$m-25 03:33:57
155,Tautira,-17.7333,-149.15,24.3,78,80,10.93,PF,$Y-$m-25 03:33:57
156,Bengkulu,-3.8004,102.2655,27.84,70,42,2.45,ID,$Y-$m-25 03:33:58
157,Wawa,9.9022,4.4192,22.89,93,61,2.12,NG,$Y-$m-25 03:33:58
158,Bend,44.0582,-121.3153,20.92,38,0,3.09,US,$Y-$m-25 03:33:16
159,Mpika,-11.8343,31.4529,16.94,64,90,3.59,ZM,$Y-$m-25 03:33:59
160,Cabo San Lucas,22.8909,-109.9124,28.99,78,100,2.68,MX,$Y-$m-25 03:33:59
161,Clyde River,70.4692,-68.5914,1.13,93,100,4.63,CA,$Y-$m-25 03:33:59
162,Poum,-20.2333,164.0167,24.68,77,4,2.58,NC,$Y-$m-25 03:34:00
163,Hilo,19.7297,-155.09,26.82,91,100,2.24,US,$Y-$m-25 03:31:47
164,Aklavik,68.2191,-135.0107,3.05,98,100,2.86,CA,$Y-$m-25 03:34:00
165,Northam,51.0333,-4.2167,12.01,80,73,2.72,GB,$Y-$m-25 03:34:01
166,Tabuk,17.4189,121.4443,27.93,80,100,3.96,PH,$Y-$m-25 03:34:01
167,Bilibino,68.0546,166.4372,0.31,65,99,1.08,RU,$Y-$m-25 03:34:01
168,Vilyuysk,63.7553,121.6247,3.38,80,97,2.25,RU,$Y-$m-25 03:34:02
169,Murgab,37.4966,61.9714,16.93,59,0,2.06,TM,$Y-$m-25 03:34:02
170,Jumla,29.2747,82.1838,17.51,83,96,1.84,NP,$Y-$m-25 03:34:03
171,Puerto Madryn,-42.7692,-65.0385,11.99,50,5,3.0,AR,$Y-$m-25 03:34:03
172,Biak,-0.9131,122.8766,28.92,61,84,4.57,ID,$Y-$m-25 03:34:03
173,Naze,28.3667,129.4833,28.51,75,1,4.11,JP,$Y-$m-25 03:34:04
174,Fairbanks,64.8378,-147.7164,11.0,67,0,2.57,US,$Y-$m-25 03:34:04
175,Saint-Philippe,-21.3585,55.7679,20.77,74,64,5.15,RE,$Y-$m-25 03:34:05
176,Karratha,-20.7377,116.8463,32.07,18,0,3.54,AU,$Y-$m-25 03:35:05
177,Rio Grande,-32.035,-52.0986,12.66,83,4,3.94,BR,$Y-$m-25 03:35:06
178,Champerico,14.3,-91.9167,26.43,87,100,1.92,GT,$Y-$m-25 03:35:06
179,Acapulco,16.8634,-99.8901,28.9,79,75,3.6,MX,$Y-$m-25 03:30:43
180,Sampit,-2.5333,112.95,31.91,52,58,1.86,ID,$Y-$m-25 03:35:07
181,Sorong,-0.8833,131.25,28.27,79,100,5.37,ID,$Y-$m-25 03:35:07
182,Georgetown,5.4112,100.3354,29.38,77,40,2.68,MY,$Y-$m-25 03:34:28
183,College,64.8569,-147.8028,10.99,66,75,2.57,US,$Y-$m-25 03:35:08
